Time,Aadc,AdB,AuV,A2hcounts,LnA2hcounts,EioktoJ,EdB,Emarse,Tdur,Trise,hcounts,AF,RA,Clust,Heat
"230,456",57,"36,8","69,4","6,9","0,05465",162861,"52,1","403560,5",57,35,10,175,"1,983",0,1
"645,535",83,"40,1","101,1","6,3","0,05765",1028014,"60,1","1013910,1",212,188,16,75,"0,538",0,1
"648,554",58,37,"70,6","14,1","0,11279",1064621,"60,3","1031804,9",327,1,5,15,"70,600",0,1
"923,214",60,"37,3","73,1","8,1","0,06643",106406,"50,3","326199,9",41,5,9,219,"14,620",0,1
"1608,312",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
"1821,328",52,36,"63,3","12,7","0,09095",87070,"49,4",295076,29,1,5,172,"63,300",0,1
"3980,934",40,"33,8","48,7","24,4","0,09619",14664,"41,7",121096,7,7,2,285,"6,957",0,1
"3999,754",45,"34,8","54,8","18,3","0,10338",51946,"47,2","227916,5",25,13,3,120,"4,215",0,1
"4005,578",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"4012,703",39,"33,5","47,5","47,5","0,16705",2256,"33,5","47495,4",1,1,1,1000,"47,500",0,1
"4017,384",42,"34,2","51,1","51,1","0,24116",2616,"34,2","51148,9",1,1,1,1000,"51,100",0,1
"4019,909",44,"34,6","53,6","8,9","0,04795",154149,"51,9","392617,5",84,2,6,71,"26,800",0,1
"4021,277",47,"35,2","57,2","9,5","0,05894",60405,"47,8",245775,31,16,6,193,"3,575",0,1
"4021,662",37,"33,1","45,1","11,3","0,0286",19824,43,"140797,7",14,7,4,285,"6,443",0,1
"4022,378",36,"32,8","43,8","21,9","0,04351",808,"29,1","28417,5",1,1,2,2000,"43,800",0,1
"4026,043",34,"32,3","41,4","20,7","0,01493",9989,40,"99943,7",6,7,2,333,"5,914",0,1
"4027,209",40,"33,8","48,7","48,7","0,19237",2373,"33,8","48713,2",1,1,1,1000,"48,700",0,1
"4027,454",46,35,56,"11,2","0,06643",70495,"48,5","265509,3",30,7,5,166,"8,000",0,1
"4027,703",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"4028,468",33,"32,1","40,2","20,1",0,808,"29,1","28417,5",1,1,2,2000,"40,200",0,1
"4029,997",50,"35,7","60,9","10,1","0,06925",109715,"50,4","331231,9",48,2,6,125,"30,450",0,1
"4031,427",34,"32,3","41,4","41,4","0,02985",1714,"32,3","41406,2",1,1,1,1000,"41,400",0,1
"4031,486",36,"32,8","43,8","21,9","0,04351",30066,"44,8","173396,5",17,18,2,117,"2,433",0,1
"4032,256",41,34,"49,9","16,6","0,07235",28591,"44,6","169089,9",14,6,3,214,"8,317",0,1
"4033,450",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"4033,969",45,"34,8","54,8","54,8","0,31015",3003,"34,8","54802,4",1,1,1,1000,"54,800",0,1
"4035,303",35,"32,6","42,6","14,2","0,01961",14125,"41,5","118849,2",12,1,3,250,"42,600",0,1
"4036,883",35,"32,6","42,6","42,6","0,05884",1817,"32,6","42624,1",1,1,1,1000,"42,600",0,1
"4037,572",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"4039,160",48,"35,3","58,5","19,5","0,1249",32146,"45,1","179294,2",17,2,3,176,"29,250",0,1
"4039,810",47,"35,2","57,2","19,1","0,11788",48889,"46,9","221109,1",18,2,3,166,"28,600",0,1
"4041,056",45,"34,8","54,8",11,"0,06203",66730,"48,2","258321,8",31,22,5,161,"2,491",0,1
"4042,163",44,"34,6","53,6","17,9","0,09589",16240,"42,1","127436,5",10,10,3,300,"5,360",0,1
"4042,289",38,"33,3","46,3","23,1","0,07054",1071,"30,3","32723,2",1,1,2,2000,"46,300",0,1
"4043,537",64,"37,8","77,9","7,8","0,06624",158582,52,398223,50,9,10,200,"8,656",0,1
"4043,850",37,"33,1","45,1","45,1","0,11441",2030,"33,1","45059,7",1,1,1,1000,"45,100",0,1
"4044,886",35,"32,6","42,6","21,3","0,02942",14125,"41,5","118849,2",8,9,2,250,"4,733",0,1
"4051,932",39,"33,5","47,5","47,5","0,16705",2256,"33,5","47495,4",1,1,1,1000,"47,500",0,1
"4052,772",33,"32,1","40,2","40,2",0,1615,"32,1","40188,4",1,1,1,1000,"40,200",0,1
"4053,753",47,"35,2","57,2","19,1","0,11788",97714,"49,9","312592,7",37,29,3,81,"1,972",0,1
"4055,587",43,"34,4","52,4","52,4","0,26469",2742,"34,4","52366,7",1,2,1,1000,"26,200",0,1
"4056,484",39,"33,5","47,5","47,5","0,16705",2256,"33,5","47495,4",1,1,1,1000,"47,500",0,1
"4056,920",38,"33,3","46,3","23,1","0,07054",15027,"41,8","122584,1",8,8,2,250,"5,788",0,1
"4057,776",40,"33,8","48,7","48,7","0,19237",4746,"36,8","68890,9",2,2,1,500,"24,350",0,1
"4058,546",47,"35,2","57,2","11,4","0,07073",28628,"44,6","169198,6",22,1,5,227,"57,200",0,1
"4058,587",37,"33,1","45,1","45,1","0,11441",2030,"33,1","45059,7",1,2,1,1000,"22,550",0,1
